epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8309.41,0.97208,0.53564,0.90386,0.8384,0.64381,0.72034,0.41893,1.20712,0.6507,0.96597,0.005842,0.005842,0.005842
44,8501.86,0.96276,0.529,0.90175,0.80997,0.65612,0.71968,0.41971,1.20772,0.65717,0.96543,0.005743,0.005743,0.005743
45,8693.86,0.95966,0.52862,0.90034,0.8267,0.6554,0.71682,0.4182,1.20227,0.64946,0.96528,0.005644,0.005644,0.005644
46,8886.07,0.95773,0.52367,0.90102,0.81922,0.65693,0.7115,0.41802,1.20292,0.65306,0.96411,0.005545,0.005545,0.005545
47,9078.19,0.95555,0.52464,0.90025,0.81724,0.65952,0.73038,0.42632,1.19776,0.64581,0.96246,0.005446,0.005446,0.005446
48,9270.41,0.94561,0.51882,0.89788,0.83824,0.65421,0.72443,0.42587,1.19726,0.64502,0.96206,0.005347,0.005347,0.005347
49,9462.6,0.93756,0.51294,0.89591,0.8255,0.65304,0.72083,0.42285,1.20096,0.6499,0.96261,0.005248,0.005248,0.005248
50,9655,0.94168,0.51748,0.89646,0.82267,0.6609,0.72331,0.42702,1.20129,0.63869,0.96113,0.005149,0.005149,0.005149
51,9847.4,0.93706,0.51339,0.89506,0.82287,0.65276,0.72584,0.42307,1.19803,0.6418,0.95926,0.00505,0.00505,0.00505
52,10039.9,0.93314,0.50838,0.89393,0.81349,0.66542,0.72878,0.4276,1.19848,0.64105,0.96195,0.004951,0.004951,0.004951
53,10233.1,0.92881,0.50848,0.89229,0.82874,0.65392,0.71828,0.42385,1.20173,0.64703,0.96318,0.004852,0.004852,0.004852
54,10427.6,0.92399,0.5053,0.89144,0.81161,0.67047,0.72204,0.42573,1.20146,0.65157,0.9627,0.004753,0.004753,0.004753
55,10620.3,0.91714,0.50162,0.88997,0.82145,0.66395,0.73126,0.42557,1.20145,0.65109,0.96134,0.004654,0.004654,0.004654
56,10812.9,0.91221,0.4997,0.88835,0.80568,0.66999,0.73017,0.42405,1.20029,0.64979,0.96209,0.004555,0.004555,0.004555
57,11005.7,0.91064,0.49836,0.88809,0.85034,0.64603,0.7279,0.42882,1.20126,0.64523,0.96328,0.004456,0.004456,0.004456
58,11198.3,0.90736,0.49639,0.88653,0.80901,0.65756,0.72506,0.42851,1.19613,0.64359,0.96185,0.004357,0.004357,0.004357
59,11391,0.89949,0.49037,0.88575,0.81146,0.66332,0.72757,0.42977,1.19587,0.6445,0.96188,0.004258,0.004258,0.004258
60,11584.3,0.89805,0.49059,0.88469,0.83788,0.65906,0.72977,0.42871,1.19702,0.64334,0.96151,0.004159,0.004159,0.004159
61,11778.7,0.89429,0.48861,0.88308,0.84311,0.6586,0.72664,0.42788,1.1973,0.64542,0.96101,0.00406,0.00406,0.00406
62,11971.1,0.89276,0.48666,0.88328,0.83425,0.65632,0.73052,0.43071,1.19754,0.64258,0.96033,0.003961,0.003961,0.003961
63,12163.1,0.88901,0.486,0.88337,0.81639,0.66488,0.73078,0.43042,1.19794,0.64415,0.96039,0.003862,0.003862,0.003862
64,12355.2,0.88534,0.48157,0.88089,0.82604,0.66301,0.7312,0.42975,1.19913,0.64605,0.96214,0.003763,0.003763,0.003763
